testname,defaultSort,defaultFiltering,searchBar,testSort,testFiltering,output_1,output_2
TC_001_1,Sort by dates,all,,,,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1",
TC_002_1,Sort by courses,all,,Sort by dates,,"Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Kiểm tra phần mềm, Assignment 1, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Xử lý ngôn ngữ tự nhiên","Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1"
TC_002_2,Sort by dates,all,,Sort by courses,,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1","Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Kiểm tra phần mềm, Assignment 1, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Xử lý ngôn ngữ tự nhiên"
TC_003_1,Sort by dates,next7days,,,all,"Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên","Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1"
TC_003_2,Sort by dates,all,,,overdue,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1","Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu"
TC_003_3,Sort by dates,all,,,next7days,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1","Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên"
TC_003_4,Sort by dates,all,,,next30days,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1","Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1"
TC_003_5,Sort by dates,all,,,next3months,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1","Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1"
TC_003_6,Sort by dates,all,,,next6months,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1","Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1"
TC_004_1,Sort by dates,all,Xử,,,"Quiz 1 Kiểm tra phần mềm, Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Học Máy, Quiz 2 Học Máy, Quiz 1 Xử lý ngôn ngữ tự nhiên, Assignment 1, Assignment 1","Bài tập mở đầu, Quiz 1 Xử lý ảnh, Quiz 1 Xử lý ngôn ngữ tự nhiên"
